_id,OverallQual,YearBuilt,YearRemodAdd,GrLivArea,GarageCars,GarageArea,SalePrice
1383,5,1918,2007,1416,2,576,112000
1384,6,1939,1950,1258,1,280,105000
1385,4,1922,2007,1154,1,240,125500
1386,7,1978,1978,2784,2,564,250000
1387,6,1916,1950,2526,1,216,136000
1388,9,2006,2007,1746,3,758,377500
1389,6,1941,1950,1218,2,440,131000
1390,7,2000,2000,1525,2,541,235000
1391,5,1967,1967,1584,3,792,124000
1392,5,1967,1967,900,1,288,123000
1393,6,1905,2000,1912,2,672,163000
1394,7,2006,2006,1500,3,648,246578
1395,8,2005,2006,2482,3,642,281213
1396,5,1948,1950,1687,2,572,160000
1397,5,1920,2004,1513,1,180,137500
1398,5,1950,1982,1904,1,240,138000
1399,6,1925,1990,1608,1,216,137450
1400,6,1929,1950,1158,1,208,120000
1401,6,2004,2004,1593,2,398,193000
1402,7,2006,2006,1294,2,662,193879
1403,8,2007,2007,1464,3,754,282922
1404,3,1915,1950,1214,3,936,105000
1405,8,2004,2005,1646,2,482,275000
1406,5,1972,2007,768,2,396,133000
1407,5,1985,1985,833,0,0,112000
1408,4,1910,1950,1363,2,528,125500
1409,7,1986,1991,2093,2,542,215000
1410,7,2001,2001,1840,2,622,230000
1411,6,1950,2005,1668,1,271,140000
1412,4,1949,1950,1040,2,420,90000
1413,8,2005,2006,1844,2,620,257000
1414,6,1923,2000,1848,2,370,207000
1415,7,2007,2007,1569,3,660,175900
1416,4,1885,1950,2290,2,560,122500
1417,8,1998,1998,2450,3,1069,340000
1418,5,1963,1963,1144,1,336,124000
1419,6,1969,1969,1844,2,540,223000
1420,6,1968,1968,1416,2,776,179900
1421,6,1977,1977,1069,2,440,127500
1422,6,2003,2003,848,2,420,136500
1423,6,1966,1966,2201,2,432,274970
1424,5,1958,1983,1344,1,484,144000
1425,6,1959,1959,1252,2,528,142000
1426,7,1994,1994,2127,2,525,271000
1427,5,1945,1950,1558,1,288,140000
1428,5,1940,1992,804,1,240,119000
1429,6,1981,1981,1440,2,467,182900
1430,5,2005,2005,1838,2,372,192140
1431,6,1976,1976,958,2,440,143750
1432,4,1927,2007,968,1,216,64500
1433,6,2000,2000,1792,2,451,186500
1434,5,1977,1977,1126,2,484,160000
1435,6,1962,2005,1537,2,462,174000
1436,4,1971,1971,864,2,528,120500
1437,8,2008,2008,1932,3,774,394617
1438,6,1957,1996,1236,2,923,149700
1439,7,1979,1979,1725,2,550,197000
1440,6,1922,1994,2555,2,672,191000
1441,6,2004,2004,848,2,420,149300
1442,10,2008,2008,2007,3,812,310000
1443,6,1916,1950,952,1,192,121000
1444,7,2004,2004,1422,2,626,179600
1445,6,1966,1966,913,1,240,129000
1446,5,1962,1962,1188,1,312,157900
1447,8,1995,1996,2090,2,556,240000
1448,4,1910,2000,1346,1,384,112000
1449,5,1970,1970,630,0,0,92000
1450,5,1974,1974,1792,0,0,136000
1451,8,2008,2009,1578,3,840,287090
1452,5,2005,2005,1072,2,525,145000
1453,5,2006,2006,1140,0,0,84500
1454,7,2004,2005,1221,2,400,185000
1455,6,1999,2000,1647,2,460,175000
1456,6,1978,1988,2073,2,500,210000
1457,7,1941,2006,2340,1,252,266500
1458,5,1950,1996,1078,1,240,142125
1459,5,1965,1965,1256,1,276,147500
